 time            v(in)           v(out)         
 7.11500000e-09  1.69650000e+00 -2.20059769e-03 
 7.12500000e-09  1.68750000e+00 -2.21164476e-03 
 7.13500000e-09  1.67850000e+00 -2.22303466e-03 
 7.14500000e-09  1.66950000e+00 -2.23406285e-03 
 7.15500000e-09  1.66050000e+00 -2.24506832e-03 
 7.16500000e-09  1.65150000e+00 -2.25560356e-03 
 7.17500000e-09  1.64250000e+00 -2.26570328e-03 
 7.18500000e-09  1.63350000e+00 -2.27505629e-03 
 7.19500000e-09  1.62450000e+00 -2.28346217e-03 
 7.20500000e-09  1.61550000e+00 -2.29065462e-03 
 7.21500000e-09  1.60650000e+00 -2.29623943e-03 
 7.22500000e-09  1.59750000e+00 -2.29992521e-03 
 7.23500000e-09  1.58850000e+00 -2.30114654e-03 
 7.24500000e-09  1.57950000e+00 -2.29953328e-03 
 7.25500000e-09  1.57050000e+00 -2.29435921e-03 
 7.26500000e-09  1.56150000e+00 -2.28513418e-03 
 7.27500000e-09  1.55250000e+00 -2.27097354e-03 
 7.28500000e-09  1.54350000e+00 -2.25123477e-03 
 7.29500000e-09  1.53450000e+00 -2.22487120e-03 
 7.30500000e-09  1.52550000e+00 -2.19106099e-03 
 7.31500000e-09  1.51650000e+00 -2.14858660e-03 
 7.32500000e-09  1.50750000e+00 -2.09642280e-03 
 7.33500000e-09  1.49850000e+00 -2.03316810e-03 
 7.34500000e-09  1.48950000e+00 -1.95757169e-03 
 7.35500000e-09  1.48050000e+00 -1.86803322e-03 
 7.36500000e-09  1.47150000e+00 -1.76305775e-03 
 7.37500000e-09  1.46250000e+00 -1.64083318e-03 
 7.38500000e-09  1.45350000e+00 -1.49960918e-03 
 7.39500000e-09  1.44450000e+00 -1.33735598e-03 
 7.40500000e-09  1.43550000e+00 -1.15206718e-03 
 7.41500000e-09  1.42650000e+00 -9.41500108e-04 
 7.42500000e-09  1.41750000e+00 -7.03403976e-04 
 7.43500000e-09  1.40850000e+00 -4.35338806e-04 
 7.44500000e-09  1.39950000e+00 -1.34831028e-04 
 7.45500000e-09  1.39050000e+00  1.78896888e-04 
 7.46500000e-09  1.38150000e+00  5.29953699e-04 
 7.47500000e-09  1.37250000e+00  9.36684645e-04 
 7.48500000e-09  1.36350000e+00  1.38807481e-03 
 7.49500000e-09  1.35450000e+00  1.88606520e-03 
 7.50500000e-09  1.34550000e+00  2.43303299e-03 
 7.51500000e-09  1.33650000e+00  3.03259523e-03 
 7.52500000e-09  1.32750000e+00  3.68758623e-03 
 7.53500000e-09  1.31850000e+00  4.40182417e-03 
 7.54500000e-09  1.30950000e+00  5.17846061e-03 
 7.55500000e-09  1.30050000e+00  6.02155912e-03 
 7.56500000e-09  1.29150000e+00  6.93465363e-03 
 7.57500000e-09  1.28250000e+00  7.92213888e-03 
 7.58500000e-09  1.27350000e+00  8.98801624e-03 
 7.59500000e-09  1.26450000e+00  1.01371116e-02 
 7.60500000e-09  1.25550000e+00  1.13739912e-02 
 7.61500000e-09  1.24650000e+00  1.27040229e-02 
 7.62500000e-09  1.23750000e+00  1.41324470e-02 
 7.63500000e-09  1.22850000e+00  1.56652964e-02 
 7.64500000e-09  1.21950000e+00  1.73086107e-02 
 7.65500000e-09  1.21050000e+00  1.90692316e-02 
 7.66500000e-09  1.20150000e+00  2.09541508e-02 
 7.67500000e-09  1.19250000e+00  2.29711980e-02 
 7.68500000e-09  1.18350000e+00  2.51285153e-02 
 7.69500000e-09  1.17450000e+00  2.74351560e-02 
 7.70500000e-09  1.16550000e+00  2.99006820e-02 
 7.71500000e-09  1.15650000e+00  3.25356922e-02 
 7.72500000e-09  1.14750000e+00  3.53515422e-02 
 7.73500000e-09  1.13850000e+00  3.83608238e-02 
 7.74500000e-09  1.12950000e+00  4.15772125e-02 
 7.75500000e-09  1.12050000e+00  4.50159234e-02 
 7.76500000e-09  1.11150000e+00  4.86937000e-02 
 7.77500000e-09  1.10250000e+00  5.26292824e-02 
 7.78500000e-09  1.09350000e+00  5.68435649e-02 
 7.79500000e-09  1.08450000e+00  6.13601309e-02 
 7.80500000e-09  1.07550000e+00  6.62056335e-02 
 7.81500000e-09  1.06650000e+00  7.14104852e-02 
 7.82500000e-09  1.05750000e+00  7.70095672e-02 
 7.83500000e-09  1.04850000e+00  8.30432324e-02 
 7.84500000e-09  1.03950000e+00  8.95585476e-02 
 7.85500000e-09  1.03050000e+00  9.66109105e-02 
 7.86500000e-09  1.02150000e+00  1.04266238e-01 
 7.87500000e-09  1.01250000e+00  1.12603791e-01 
 7.88500000e-09  1.00350000e+00  1.21720150e-01 
 7.89500000e-09  9.94500000e-01  1.31734435e-01 
 7.90500000e-09  9.85500000e-01  1.42795696e-01 
 7.91500000e-09  9.76500000e-01  1.55092800e-01 
 7.92500000e-09  9.67500000e-01  1.68868760e-01 
 7.93500000e-09  9.58500000e-01  1.84442347e-01 
 7.94500000e-09  9.49500000e-01  2.02245907e-01 
 7.95500000e-09  9.40500000e-01  2.22893798e-01 
 7.96500000e-09  9.31500000e-01  2.47300916e-01 
 7.97500000e-09  9.22500000e-01  2.76844609e-01 
 7.98500000e-09  9.13500000e-01  3.13473189e-01 
 7.99500000e-09  9.04500000e-01  3.59143679e-01 
 8.00000000e-09  9.00000000e-01  3.85701230e-01 
 8.00100000e-09  9.00000000e-01  3.92503692e-01 
 8.00300000e-09  9.00000000e-01  4.05871254e-01 
 8.00700000e-09  9.00000000e-01  4.31563879e-01 
 8.01500000e-09  9.00000000e-01  4.79279966e-01 
 8.02500000e-09  9.00000000e-01  5.32494650e-01 
 8.03500000e-09  9.00000000e-01  5.79492093e-01 
 8.04500000e-09  9.00000000e-01  6.21103236e-01 
 8.05500000e-09  9.00000000e-01  6.58073750e-01 
 8.06500000e-09  9.00000000e-01  6.90966819e-01 
 8.07500000e-09  9.00000000e-01  7.20305792e-01 
 8.08500000e-09  9.00000000e-01  7.46490946e-01 
 8.09500000e-09  9.00000000e-01  7.69906051e-01 
 8.10500000e-09  9.00000000e-01  7.90847151e-01 
